Vegetarian's Choice,青菜,Broccoli w. Garlic Sauce,Broccoli w. Garlic Sauce,,,,40,,6.95,L18,4.95,,,1,1,,,
Vegetarian's Choice,青菜,Eggplant w. Garlic Sauce,Eggplant w. Garlic Sauce,,,,40,,6.95,L19,4.95,,,1,1,,,
Vegetarian's Choice,青菜,Fresh Mixed Veg wtih Bean Curd,Fresh Mixed Veg wtih Bean Curd,,,,41,,6.95,,,,,,1,,,
Vegetarian's Choice,青菜,Dried Sauteed String Beans,Dried Sauteed String Beans,,,,42,,6.95,,,,,,1,,,
Vegetarian's Choice,青菜,Sauteed Chinese Spinach,Sauteed Chinese Spinach,,,,43,,7.55,,,,,,1,,,
Vegetarian's Choice,青菜,Sauteed Snow Pea & Waterchestnut,Sauteed Snow Pea & Waterchestnut,,,,44,,6.25,,,,,,1,,,
Vegetarian's Choice,青菜,Bean Curd Home Style,Bean Curd Home Style,,,,45,,6.95,L20,4.95,,,,1,,,
Vegetarian's Choice,青菜,Bean Curd Szechuan Style,Bean Curd Szechuan Style,,,,46,,6.95,L21,4.95,,,1,1,,,
Vegetarian's Choice,青菜,Moo Shu Veg,Moo Shu Veg,,includes pancakes,,47,,6.95,,,,,,1,,,
Vegetarian's Choice,青菜,Sauteed Asparagus,Sauteed Asparagus,,,,48,,7.55,,,,,,1,,,
Vegetarian's Choice,青菜,Tofu w. Blk Bean Sauce,Tofu w. Black Bean Sauce,,,,49,,6.95,,,,,,1,,,
Poultry,鸡,Chicken w. Mushroom,Chicken w. Mushroom,,,,50,4.75,8.25,L7,4.95,,,,1,,,
Poultry,鸡,Slice Chicken w. Snow Peas,Slice Chicken w. Snow Peas,,,,51,,8.25,,,,,,1,,,
Poultry,鸡,Lemon Chicken,Lemon Chicken,,,,52,,8.95,,,,,,1,,,
Poultry,鸡,Chicken w. Broccoli,Chicken w. Broccoli,,,,53,4.75,8.25,L3,4.95,10,6.55,,1,,,
Poultry,鸡,Chicken w. Mixed Vegetable,Chicken w. Mixed Vegetable,,,,54,4.75,8.25,L9,4.95,24,6.55,,1,,,
Poultry,鸡,Chicken w. Cashew Nuts,Chicken w. Cashew Nuts,,,,55,4.75,8.25,L5,4.95,12,6.55,,1,,,
Poultry,鸡,Chicken w. Shrimp Combo,Chicken w. Shrimp Combination,,,,56,4.75,8.25,L13,4.95,,,,1,,,
Poultry,鸡,Sweet & Sour Chicken,Sweet & Sour Chicken,,,,57,,8.25,L10,4.95,8,6.55,,1,,,
Poultry,鸡,Chicken w. Garlic Sauce,Chicken w. Garlic Sauce,,,,58,4.75,8.25,L4,4.95,11,6.55,1,1,,,
Poultry,鸡,Chicken w. Peanuts,Chicken w. Peanuts,,,,59,4.75,8.25,,,13,6.55,1,1,,,
Poultry,鸡,Hunan Chicken,Hunan Chicken,,,,60,4.75,8.25,L11,4.95,9,6.55,1,1,,,
Poultry,鸡,Chicken w. Curry Sauce,Chicken w. Curry Sauce,,,,61,,8.25,,,,,1,1,,,
Poultry,鸡,Moo Shu Chicken,Moo Shu Chicken,,includes pancakes,,62,,8.25,,,,,,1,,,
Poultry,鸡,Slice Chicken in Brown Sauce,Slice Chicken in Brown Sauce,,,,63,6.25,10.95,,,,,,1,,,
Poultry,鸡,Chicken w. String Bean,Chicken w. String Bean,,,,64,,8.5,,,,,,1,,,
Poultry,鸡,Chicken w. Eggplant,Chicken w. Eggplant,,,,65,,8.5,,,,,,1,,,
Poultry,鸡,Chicken w. Blk Bean Sauce,Chicken w. Black Bean Sauce,,,,66,,8.5,,,,,,1,,,
Poultry,鸡,Chicken w. Asparagus,Chicken w. Asparagus,,,,67,,8.95,L39,5.75,17,7.95,,1,,,
Poultry,鸡,Chicken in Peking Style,Chicken in Peking Style,,,,67a,,10.95,,,,,,1,,,
Poultry,鸡,Chicken w. Sweet Ginger,Chicken w. Sweet Ginger,,,,67b,,8.95,,,,,,1,,,
Pork,猪肉,Pork w. Broccoli,Roast Pork w. Broccoli,,,,68,,7.95,,,,,,1,,,
Pork,猪肉,Pork w. Mixed Veg,Roast Pork w. Mixed Vegetable,,,,69,,7.95,L15,4.95,5,6.5,,1,,,
Pork,猪肉,Pork w. Blk Bean Sauce,Roast Pork w. Black Bean Sauce,,,,70,,7.95,,,,,,1,,,
Pork,猪肉,Shredded Pork w. Garlic Sauce,Shredded Pork w. Garlic Sauce,,,,71,,7.95,,,,,,1,,,
Pork,猪肉,Shredded Pork w. String Bean,Shredded Pork w. String Bean,,,,72,,7.95,,,,,,1,,,
Pork,猪肉,Pork w. Scallion Stir Fried,Pork w. Scallion Stir Fried,,,,73,,8.95,,,,,,1,,,
Pork,猪肉,Sweet & Sour Pork,Sweet & Sour Pork,,,,74,,7.95,L10,4.95,8,6.55,,1,,,
Pork,猪肉,Shredded Pork Peking Style,Shredded Pork Peking Style,,,,75,,8.95,,,,,,1,,,
Pork,猪肉,Moo Shu Pork,Moo Shu Pork,,includes pancakes,,76,,8.25,,,,,,1,,,
Beef,牛肉,Beef w. Broccoli,Beef w. Broccoli,,,,77,5.5,9.25,L22,5.25,7,7.25,,1,,,
Beef,牛肉,Beef w. Mixed Vegetable,Beef w. Mixed Vegetable,,,,78,5.5,9.25,L24,5.25,14,7.25,,1,,,
Beef,牛肉,Beef w. Scallion Stir Fried,Beef w. Scallion Stir Fried,,,,79,,10.5,,,,,,1,,,
Beef,牛肉,Pepper Steak,Pepper Steak,,,,80,5.5,9.25,L33,5.25,3,7.25,,1,,,
Beef,牛肉,Beef w. Oyster Sauce,Beef w. Oyster Sauce,,,,81,,9.25,L23,5.25,,,,1,,,
Beef,牛肉,Beef w. Mushroom,Beef w. Mushroom,,,,82,,9.25,,,,,,1,,,
Beef,牛肉,Shredded Beef w. Peking Style,Shredded Beef w. Peking Style,,,,83,,10.5,,,,,,1,,,
Beef,牛肉,Shredded Beef Szechuan Style,Shredded Beef Szechuan Style,,,,84,,9.25,L25,5.25,,,1,1,,,
Beef,牛肉,Shredded Beef w. String Bean,Shredded Beef w. String Bean,,,,85,,9.25,,,,,,1,,,
Beef,牛肉,Hunan Beef,Hunan Beef,,,,86,5.5,9.25,,,19,7.25,1,1,,,
Beef,牛肉,Beef w. Zucchini,Beef w. Zucchini,,,,87,,9.25,,,,,,1,,,
Beef,牛肉,Beef w. Spinach,Beef w. Spinach,,,,88,,10.5,,,,,,1,,,
Beef,牛肉,Beef w. Asparagus,Beef w. Asparagus,,,,89,,10.5,,,,,,1,,,
